,Sr No,Image File,Caption,Length,Caption_0,Caption_1
2881,4879,img/insta4879,took months of not dying my hair and wearing wigs to get my hair back to health so i can do this     thank you for putting up with me all day   i  m going for an ashy dirty blonde for the fall   but this shits a process   i  m coming for you khlo   ,47,took months of not dying my pilus too wearing wigs to get my pilus dorsum to health therefore one toilet do this     give thanks you lot for putting upwards alongside me all daytime   i  k going for an ashy soiled blonde for the tumble   simply this shits a process   i  1000 coming for you khlo,took months of non dying my pilus together with wearing wigs to receive my hair dorsum to wellness so one toilet do this     give thanks you for putting upward with me all daytime   ane  m going for an ashy dirty blonde for the fall   simply this shits a treat   1  m coming for yous khlo
1677,2410,img/insta2410,keep it simple  ,3,maintain it uncomplicated,hold it simple
7300,11394,img/insta11394,i woke up to a wall of roses   hydrangeas and peonies       i have the best fianc in the world   i love you so much baby         ,21,i woke up to a wall of roses   hydrangeas together with peonies       i receive the best fianc in the world   ane beloved yous hence much infant,i woke upwardly to a wall of roses   hydrangeas and peonies       i have the best fianc inward the world   one love you thence much baby
8928,14144,img/insta14144,this is everything ,3,this is everything,this is everything
901,1484,img/insta1484,i cherish this truck more than i cherish the remaining 85   of my right testicle    p  s   did you get the new t  shirts yet if not link in bio yeet   ,28,ane cherish this truck more than 1 cherish the remaining 85   of my correct testicle    p  second   did you attain the novel t  shirts withal if non link inward bio yeet,i cherish this truck more than ane cherish the remaining 85   of my right testicle    p  second   did y'all get the new t  shirts notwithstanding if not link inward bio yeet
9616,15866,img/insta15866,back in the lab ,4,dorsum inwards the lab,back in the lab
2296,3589,img/insta3589,kristen is now our top seller   thanks for all the love on this strawberry lip kit     🍓   available now ,19,kristen is now our transcend seller   thanks for all the love on this strawberry lip kit     🍓   available now,kristen is now our top seller   thanks for all the beloved on this strawberry lip kit     🍓   available now
3402,5741,img/insta5741,another sneak peak ,3,another sneak meridian,some other sneak tiptop
6669,10552,img/insta10552,i  ve known since high school   anthony from the last pic since i was born   love catching up with all of my friends this weekend ,24,one  ve known since high school   anthony from the hold up image since i was born   love catching upwardly alongside all of my friends this weekend,i  ve known since high schoolhouse   anthony from the last motion picture since i was born   love catching upwardly amongst all of my friends this weekend
296,469,img/insta469,paris je t  aime   merci beaucoup   😘     can  t do any of it without you   ,14,paris je t  aime   merci beaucoup   😘     bathroom  t exercise any of it without y'all,paris je t  aime   merci beaucoup   😘     lav  t do any of it without yous
11055,18250,img/insta18250,mood af ,2,mood af,mood af
4153,6891,img/insta6891,love these nails   😍   ,4,dearest these nails   😍,honey these nails   😍
10223,17001,img/insta17001,wave goodbye to cali ,3,moving ridge goodbye to cali,wave farewell to cali
6977,10922,img/insta10922,best aunties ever   ,3,best aunties always,best aunties ever
27,37,img/insta37,i miss when was a bear ,5,one young woman when was a carry,1 fille when was a bear
7012,10977,img/insta10977,bts of our shoot by hair   kevin ryan make up   mario dedivanovic styled by   leslie fremar ,13,bts of our shoot by pilus   kevin ryan make upwardly   mario dedivanovic styled past   leslie fremar,bts of our shoot by hair   kevin ryan reach upward   mario dedivanovic styled past times   leslie fremar
11824,19417,img/insta19417,my favorite spot at my house ,6,my favorite spot at my house,my favorite location at my house
3829,6384,img/insta6384,i get to drive my beauty around today thanks to liz  s company   🚙   ,12,i get to cause my beauty or so today thanks to liz  sec firm   🚙,1 receive to crusade my beauty about today thanks to liz  sec company   🚙
6244,9962,img/insta9962,skinny dayz ,2,skinny dayz,skinny dayz
8723,13374,img/insta13374,its so lit its not even funny ,7,its thence lit its not even funny,its so lit its non level funny
3248,5502,img/insta5502,the other night ,3,the other night,the other night
6844,10766,img/insta10766,break time ,2,disclose fourth dimension,let out fourth dimension
9963,16550,img/insta16550,i dropped the o and the e and just kept the lv   big sean ,12,i dropped the o too the e too precisely kept the lv   big sean,i dropped the o and the e in addition to precisely kept the lv   large sean
4391,7260,img/insta7260,happy mothers day mommy   i couldn  t ask for a better mom  love you so much   ,15,happy mothers day mommy   1 couldn  t ask for a amend mom  love yous therefore much,happy mothers daytime mommy   i couldn  t need for a improve mom  dear y'all so much
2580,4233,img/insta4233,cause we are sistersss   🎶   ,4,make nosotros are sistersss   🎶,get nosotros are sistersss   🎶
12559,20447,img/insta20447,meet martha     👩   ,3,meet martha     👩,catch martha     👩
9360,15324,img/insta15324,wow kelly makes me feel some type of way   😍    😍   no disrespect i know she  s married   ,17,wow kelly makes me feel more or less type of way   😍    😍   no disrespect i know she  second married,wow kelly makes me sense some type of way   😍    😍   no disrespect ane know she  s married
8559,12999,img/insta12999,thank you for always catching these cool moments ,8,thank yous for e'er catching these cool moments,give thanks you for always catching these cool moments
1370,2028,img/insta2028,breakfast in the city        ,4,breakfast inward the metropolis,breakfast in the urban center
12411,20235,img/insta20235,its the new thing         👍   ,5,its the novel thing         👍,its the new matter         👍
9533,15714,img/insta15714,i miss you guys i  ll see you soon      ,9,i fille you guys i  ll view y'all soon,i young woman y'all guys one  ll take in you soon
8209,12567,img/insta12567,if you  re a bird      i  m a bird ,7,if yous  re a bird      i  one thousand a plane,if yous  re a bird      i  thousand a aeroplane
5551,8989,img/insta8989,the crystal gardenia is nominated for the consumer choice award for fragrancefdtn please vote for us   vote  fragrance  org   📷   ,19,the crystal gardenia is nominated for the consumer choice award for fragrancefdtn delight vote for us   vote  fragrance  org   📷,the crystal gardenia is nominated for the consumer choice laurels for fragrancefdtn please vote for us   vote  fragrance  org   📷
7505,11704,img/insta11704,yeezus tour is back ,3,yeezus tour is back,yeezus tour is back
5254,8622,img/insta8622,who has gone to my pop up shop   be sure to check it out at in costa mesa ,16,who has gone to my popular up shop   exist sure enough to check it out at inward costa mesa,who has gone to my pop upwardly shop   be sure enough to agree it out at in costa mesa
681,1120,img/insta1120,that face you my face muse tho   😂   ,8,that face you my face muse tho   😂,that human face you my human face muse tho   😂
11715,19288,img/insta19288,come visit   3rd street promenade ,5,come up see   3rd street promenade,come up see   third street promenade
